Month;Product;Organic;Type;Land;Cost per unit;Total_cost;Amount;Weight;Total_weight
5;Sourdough Bread;yes;cereals;Sweden;30;120;4;0,5;2
5;Potato;yes;cereals;Sweden;30;30;1;2;2
5;Oats;yes;cereals;Sweden;23;23;1;1;1
5;Rye flakes;yes;cereals;Sweden;17;17;1;1;1
5;Brown Rice;;cereals;Spain;23;23;1;0,6;0,6
5;Sunflower seeds;yes;cereals;Sweden;26;26;1;0,4;0,4
5;Linseeds;yes;cereals;Sweden;23;23;1;0,35;0,35
5;Lasagne plates;;cereals;Sweden;21;21;1;0,3;0,3
5;Oat bran;;cereals;Sweden;15;15;1;0,3;0,3
5;Hard bread;yes;cereals;Sweden;16;16;1;0,25;0,25
5;A-fil;yes;dairy;Sweden;14;154;11;1;11
5;Milk;;dairy;Sweden;12;72;6;1;6
5;Egg;yes;dairy;Sweden;26;52;2;0,32;0,64
5;Cream;yes;dairy;Sweden;11;22;2;0,25;0,5
5;Cheese Chedar;;dairy;Sweden;62;62;1;0,5;0,5
5;Butter Bregott;yes;dairy;Sweden;25;25;1;0,25;0,25
5;Creme Fraiche;yes;dairy;Sweden;12;12;1;0,2;0,2
5;Manchego Cheese;;dairy;Spain;33;33;1;0,2;0,2
5;Feta;;dairy;Greece;25;25;1;0,15;0,15
5;Salmon;yes;fish;Norway;63;126;2;0,28;0,56
5;Mussels;;fish;Canada;62;124;2;0,2;0,4
5;Salmon smoked;;fish;Norway;54;108;2;0,2;0,4
5;Cod;yes;fish;Norway;35;35;1;0,4;0,4
5;Chicken;yes;meat;Sweden;108;108;1;1;1
5;Grounded beef;yes;meat;Sweden;45;45;1;0,5;0,5
5;Beef loin;;meat;Sweden;100;100;1;0,5;0,5
5;Sugar;yes;other;Paraguay;23;23;1;1;1
5;Coffee;yes;other;Central America;109;109;1;0,5;0,5
5;Chocolate;;other;Switzerland;24;48;2;0,1;0,2
5;Blueberry juice;;veg&fruit;Sweden;20;100;5;1;5
5;Oranges;;veg&fruit;Italy;;30;3;;3
5;Apple;yes;veg&fruit;Italy;20;100;5;0,5;2,5
